DMS结算订单,DMS结算类型,结算订单类型,统筹标识,DMS结算状态,SAP发票状态,SOrg.,分销渠道,产品组,销售办事处,客户,DMS 客户编号,客户组 1,客户组 2,客户组 3,DMS业务场景,DMS开票状态,DMS发票回传状态,DMS收入确认回传,消息文本,DMS结算回传,消息文本.1,是否贷项凭证,特定场景,传输日期,传输时间,消息号,关联消息号,信息类型
TCH202604160001,1,1,1,2,1,2000,10,0,,627972,,8,,0,2,2,1,,,S,处理成功!,,,2026-04-16 00:00:00,17:29:13,BB42E0EC397611F1CF2B00000087E0F7,0,S
ZRTC20260407044,5,5,1,2,1,2000,10,0,Z255,601488,10023391.0,8,,0,2,2,1,,,S,处理成功!,,,2026-04-07 00:00:00,16:49:44,B9920E78325E11F1C70000000087E0F6,0,S
ZRTC20260424025,5,5,1,2,1,2000,10,0,K001,601488,10021857.0,8,,0,2,2,1,,,S,处理成功!,,,2026-04-24 00:00:00,16:24:47,0DEBF6273FB711F1B2E200000087E0F7,0,S
100206FP202603240001,1,1,2,2,1,2070,10,0,X001,622699,10016480.0,7,,0,1,1,1,,,S,处理成功!,,,2026.04.27,16:09:28,6978550C421011F1CA6400000087E0F7,0,S
TCL202604170002,1,1,1,2,1,2000,10,0,,604425,,8,,0,2,2,1,,,S,处理成功!,,,2026.04.17,10:46:51,AFBA720A3A0711F180B500000087E0F7,0,S
TCL202604170005,1,1,1,2,1,2000,10,0,,604425,,8,,0,2,2,1,,,S,处理成功!,,,2026.04.17,11:11:42,27D460983A0B11F1CCE600000087E0F6,0,S
